,nombre articulo,categoria,price,priceprevious,rating
86,Taza para sublimar blanca Matte 15 oz TLP Pack 12pz Interno Azul Cobalto,"Ceramica, 15oz, Blancos",360.00.,El precio original era: $428.00.,
87,Taza para sublimacion 11oz TLP [Interno rosa] 36pz,"Ceramica, 11oz, Blancos",771.12,,
88,Taza para sublimar blanca 15oz TLP [ filo y asa de color rosa ] Pack 24pz,"Ceramica, 15oz, Blancos",708.00.,El precio original era: $857.00.,
89,Taza para sublimar blanca 15oz TLP [ filo y asa de color verde claro ] Pack 12pz,"Ceramica, 15oz, Blancos",354.00.,El precio original era: $428.00.,
90,Taza para sublimar blanca TLP 11oz [ interno y asa de color rosa] Pack 36 pz,"Ceramica, 11oz, Blancos",882.00.,El precio original era: $918.00.,
91,set Taza Beige para sublimacion TLP 11oz AA – 72pz,"Ceramica, 11oz, Blancos","1,044.00.","El precio original era: $1,320.00.",
92,Taza cerámica mágica color negro mate spark 11oz 6pz,"Ceramica, 11oz, Blancos",198.00.,El precio original era: $234.00.,Valorado con 5.00 de 5
93,Taza para sublimar cónica 12oz – 24pz,"Ceramica, 12oz, Blancos",420.00.,El precio original era: $600.00.,Valorado con 4.00 de 5
94,Taza para sublimar blanca Matte 15 oz TLP Pack 12pz Interno Azul Claro,"Ceramica, 15oz, Blancos",360.00.,El precio original era: $428.00.,
95,Taza para sublimar blanca Matte 15 oz TLP Pack 36pz Interno Azul Cobalto,"Ceramica, 15oz, Blancos","1,080.00.","El precio original era: $1,278.00.",
96,Taza para sublimar blanca 15oz TLP Pack 72pz,"Ceramica, 15oz, Blancos","1,584.00.","El precio original era: $2,570.00.",
97,Taza para sublimacion 11oz TLP [Interno Naranja] 24pz,"Ceramica, 11oz, Blancos",514.00.,El precio original era: $600.00.,
98,Taza para sublimar blanca TLP 11oz [ interno y asa de color rojo ] Pack 36pz,"Ceramica, 11oz, Blancos",882.00.,El precio original era: $918.00.,
99,Taza para sublimar 11oz terminado [Matte color naranja interno] Pack 12pz,"Ceramica, 11oz, Blancos",300.00.,El precio original era: $325.00.,
100,Taza para sublimación ideal para Expresso 6oz TLP Pack 36pz,"Ceramica, 6oz, Blancos",550.80.,El precio original era: $679.32.,
101,Taza Beige para sublimacion TLP 11oz AA – 24pz,"Ceramica, 11oz, Blancos",360.00.,El precio original era: $440.00.,
102,Taza para sublimar blanca Matte 15 oz TLP Pack 6pz Interno Verde Claro,"Ceramica, 15oz, Blancos",180.00.,El precio original era: $214.00.,
103,Taza para sublimacion 11oz TLP [Interno verde limon] 24pz,"Ceramica, 11oz, Blancos",528.00.,El precio original era: $630.00.,
104,Taza para sublimacion 11oz [Tipo Espejo Dorada] 24pz,"Ceramica, 11oz, Blancos",708.00.,El precio original era: $825.00.,
105,Taza para sublimar Diamante 11oz TLP [ color dorado ] Pack 12pz,"Ceramica, 11oz, Blancos",348.00.,El precio original era: $502.00.,
106,Taza para sublimar blanca TLP 11oz [ interno y asa de color verde claro ] Pack 24 pz,"Ceramica, 11oz, Blancos",563.00.,El precio original era: $612.00.,
107,Taza para sublimar 11oz terminado [Matte color azul claro interno] Pack 36pz,"Ceramica, 11oz, Blancos",900.00.,El precio original era: $918.00.,
108,Taza para sublimar blanca TLP 11oz [ interno y asa de color azul cobalto ] Pack 24 pz,"Ceramica, 11oz, Blancos",612.00,,
109,Taza para sublimar blanca TLP 11oz [ interno y asa de color naranja ] Pack 12pz,"Ceramica, 11oz, Blancos",306.00.,El precio original era: $410.00.,
110,Taza para sublimar blanca 15oz TLP [ filo y asa de color naranja ] Pack 24pz,"Ceramica, 15oz, Blancos",708.00.,El precio original era: $857.00.,
111,Taza cerámica mágica color negro mate spark 11oz -24pz,"Ceramica, 11oz, Blancos",792.00.,El precio original era: $936.00.,
112,Taza para sublimacion 11oz TLP [Interno amarillo] 72pz,"Ceramica, 11oz, Blancos","1,548.00.","El precio original era: $1,600.00.",
113,Taza para sublimacion 11oz TLP [Interno Rosa] 72pz,"Ceramica, 11oz, Blancos","1,542.24.","El precio original era: $1,800.00.",
114,Taza para sublimacion 11oz [Tipo Espejo Champagne] 36pz,"Ceramica, 11oz, Blancos",918.00.,"El precio original era: $1,175.00.",
115,Taza para sublimar Diamante 11oz TLP [ color rosa ] Pack 72pz,"Ceramica, 11oz, Blancos","2,340.00.","El precio original era: $2,880.00.",
116,Taza para sublimar blanca 15oz TLP [ filo y asa de color rosa ] Pack 36pz,"Ceramica, 15oz, Blancos",972.00.,"El precio original era: $1,285.00.",
117,Taza para sublimar blanca TLP 11oz [ interno y asa de color amarillo ] Pack 24pz,"Ceramica, 11oz, Blancos",600.00.,El precio original era: $612.00.,
118,Taza para sublimar 11oz terminado [Matte color azul cobalto interno] Pack 12pz,"Ceramica, 11oz, Blancos",312.00.,El precio original era: $325.00.,
119,Taza para sublimar 11oz terminado [Matte color rojo interno] Pack 24pz,"Ceramica, 11oz, Blancos",600.00.,El precio original era: $612.00.,
120,Taza para sublimar 11oz terminado [Matte color azul claro interno] Pack 12pz,"Ceramica, 11oz, Blancos",300.00.,El precio original era: $325.00.,
121,Taza para sublimar 11oz terminado [Matte color amarillo interno] Pack 12pz,"Ceramica, 11oz, Blancos",300.00.,El precio original era: $325.00.,
122,Taza para sublimar 11oz terminado [Matte color verde claro interno] Pack 36pz,"Blancos, Ceramica",900.00.,El precio original era: $918.00.,
123,Taza Glitter Plata para sublimacion TLP 11oz – 24pz,"Ceramica, 11oz, Blancos",792.00.,El precio original era: $800.00.,
124,Taza para sublimar blanca TLP 11oz [ interno y asa de color negro] Pack 24pz,"Ceramica, 11oz, Blancos",600.00.,El precio original era: $680.00.,
125,Taza para sublimar blanca TLP 11oz [ interno y asa de color naranja ] Pack 24 pz,"Ceramica, 11oz, Blancos",612.00.,El precio original era: $680.00.,
126,Taza para sublimar blanca TLP 11oz [ interno y asa de color naranja ] Pack 36 pz,"Ceramica, 11oz, Blancos",882.00.,El precio original era: $918.00.,
127,Taza para sublimar blanca 15oz TLP [ filo y asa de color amarillo ] Pack 36pz,"Ceramica, 15oz, Blancos",972.00.,"El precio original era: $1,285.00.",
