,nombre articulo,categoria,price,priceprevious,rating
170,Taza para sublimar blanca Matte15oz TLP Pack 36pz Interno Rojo,"Ceramica, 15oz, Blancos","1,080.00.","El precio original era: $1,278.00.",
171,Taza para sublimar blanca Matte15oz TLP Pack 24pz Interno roja,"Ceramica, 15oz, Blancos",720.00.,El precio original era: $852.00.,
172,Taza para sublimar blanca Matte15oz TLP Pack 36pz Interno Naranja,"Ceramica, 15oz, Blancos","1,080.00.","El precio original era: $1,278.00.",
173,Taza para sublimar blanca Matte 15 oz TLP Pack 36pz Interno Verde Claro,"Ceramica, 15oz, Blancos","1,080.00.","El precio original era: $1,278.00.",
174,Taza para sublimar blanca Matte 15 oz TLP Pack 12pz Interno Verde Claro,"Ceramica, 15oz, Blancos",360.00.,El precio original era: $428.00.,
175,Taza para sublimar blanca Matte 15 oz TLP Pack 72pz Interno Negro,"Ceramica, 15oz, Blancos","2,160.00.","El precio original era: $2,682.00.",
176,Taza para sublimar blanca Matte 15 oz TLP Pack 24pz Interno Negro,"Ceramica, 15oz, Blancos",720.00.,El precio original era: $852.00.,
177,Taza para sublimar blanca Matte 15 oz TLP Pack 72pz Interno Azul Cobalto,"Ceramica, 15oz, Blancos","2,160.00.","El precio original era: $2,682.00.",
178,Taza para sublimar blanca Matte 15 oz TLP Pack 24pz Interno Azul Cobalto,"Ceramica, 15oz, Blancos",720.00.,El precio original era: $852.00.,
179,Taza para sublimacion 11oz TLP [Interno naranja] 72pz,"Ceramica, 11oz, Blancos","1,542.24.","El precio original era: $1,600.00.",
180,Taza para sublimacion 11oz TLP [Interno naranja] 36pz,"Ceramica, 11oz, Blancos",771.12.,El precio original era: $800.00.,
181,Taza para sublimacion 11oz TLP [Interno amarillo] 24pz,"Ceramica, 11oz, Blancos",540.00.,El precio original era: $600.00.,
182,Taza para sublimacion 11oz TLP [Interno azul Cobalto ] 72pz,"Ceramica, 11oz, Blancos","1,548.00.","El precio original era: $1,800.00.",
183,Taza para sublimacion 11oz TLP [Interno azul Cobalto ] 36pz,"Ceramica, 11oz, Blancos",774.00.,El precio original era: $900.00.,
184,Taza para sublimacion 11oz TLP [Interno azul Cobalto ] 24pz,"Ceramica, 11oz, Blancos",540.00.,El precio original era: $600.00.,
185,Taza para sublimacion 11oz [Tipo Espejo Champagne] 72pz,"Ceramica, 11oz, Blancos","1,836.00.","El precio original era: $2,350.00.",
186,Taza para sublimar blanca 15oz TLP [ filo y asa de color roja] Pack 72 pz,"Ceramica, 15oz, Blancos","1,944.00.","El precio original era: $2,570.00.",
187,Taza para sublimar blanca 15oz TLP [ filo y asa de color verde claro ] Pack 72pz,"Ceramica, 15oz, Blancos","1,944.00.","El precio original era: $2,570.00.",
188,Taza para sublimar blanca TLP 11oz [ interno y asa de color Naranja ] Pack 72 pz,"Ceramica, 11oz, Blancos","1,764.00.","El precio original era: $1,836.00.",
189,Taza para sublimar blanca TLP 11oz [ interno y asa de color verde claro ] Pack 36 pz,"Ceramica, 11oz, Blancos",844.56.,El precio original era: $918.00.,
190,Taza para sublimar TLP 11oz terminado [Matte color rojo interno] Pack 72pz,"Ceramica, 11oz, Blancos","1,800.00.","El precio original era: $1,836.00.",
191,Taza para sublimar 11oz terminado [Matte color rojo interno] Pack 36pz,"Ceramica, 11oz, Blancos",900.00.,El precio original era: $918.00.,
192,Taza para sublimar TLP 11oz terminado [Matte color rosa interno] Pack 72pz,"Ceramica, 11oz, Blancos","1,800.00.","El precio original era: $1,836.00.",
193,Taza para sublimar 11oz terminado [Matte color naranja interno] Pack 72pz,"Ceramica, 11oz, Blancos","1,800.00.","El precio original era: $1,836.00.",
194,Pallet 120 cajas 11oz blanca,"Ceramica, 11oz, Blancos","51,969.60","Rango de precios: desde $50,976.00 hasta $51,969.60",
195,Taza para sublimar blanca 15oz TLP [ filo y asa de color Negro] Pack 72pz,"Ceramica, 15oz, Blancos","1,944.00.","El precio original era: $2,570.00.",
196,Taza para sublimar blanca 15oz TLP [ filo y asa de color negro] Pack 24pz,"Ceramica, 15oz, Blancos",708.00.,El precio original era: $857.00.,
197,Taza para sublimar blanca 15oz TLP [ filo y asa de color Negro] Pack 12pz,"Ceramica, 15oz, Blancos",354.00.,El precio original era: $428.00.,
198,Taza para sublimar blanca TLP 11oz [ interno y asa de color rosa ] Pack 72 pz,"Ceramica, 11oz, Blancos","1,764.00.","El precio original era: $1,836.00.",
199,Taza para sublimar blanca TLP 11oz [ interno y asa de color azul cielo] Pack 72pz,"Ceramica, 11oz, Blancos","1,764.00.","El precio original era: $1,836.00.",
200,Taza para sublimar blanca TLP 11oz [ interno y asa de color azul cobalto] Pack 36 pz,"Ceramica, 11oz, Blancos",882.00.,El precio original era: $918.00.,
201,Taza para sublimar blanca 15oz TLP [ filo y asa de color amarillo ] Pack 72pz,"Ceramica, 15oz, Blancos","1,944.00.","El precio original era: $2,570.00.",
202,Taza para sublimar blanca 15oz TLP [ filo y asa de color Naranja] Pack 36pz,"Ceramica, 15oz, Blancos",972.00.,"El precio original era: $1,285.00.",
203,Taza para sublimar blanca 15oz TLP [ filo y asa de color naranja ] Pack 72pz,"Ceramica, 15oz, Blancos","1,944.00.","El precio original era: $2,570.00.",
204,Taza cerámica mágica color negro mate spark 11oz -72pz,"Ceramica, 11oz, Blancos","2,376.00.","El precio original era: $2,808.00.",
205,Taza para sublimar blanca Matte 15 oz TLP Pack 72pz Interno Rosa,"Ceramica, 15oz, Blancos","2,160.00.","El precio original era: $2,682.00.",
206,Taza para sublimar blanca Matte15oz TLP Pack 72pz Interno amarillo,"Ceramica, 15oz, Blancos","2,160.00.","El precio original era: $2,682.00.",
207,Taza para sublimar blanca Matte15oz TLP Pack 24pz Interno amarillo,"Ceramica, 15oz, Blancos",720.00.,El precio original era: $852.00.,
208,Taza para sublimar blanca Matte15oz TLP Pack 72pz Interno Roja,"Ceramica, 15oz, Blancos","2,160.00.","El precio original era: $2,682.00.",
209,Taza para sublimar blanca Matte15oz TLP Pack 72pz Interno Naranja,"Ceramica, 15oz, Blancos","2,160.00.","El precio original era: $2,682.00.",
210,Taza para sublimar blanca Matte 15 oz TLP Pack 72pz Interno Verde Claro,"Ceramica, 15oz, Blancos","2,160.00.","El precio original era: $2,682.00.",
211,Taza para sublimar blanca Matte 15 oz TLP Pack 24pz Interno Verde Claro,"Ceramica, 15oz, Blancos",720.00.,El precio original era: $852.00.,
212,Taza para sublimar blanca Matte 15 oz TLP Pack 72pz Interno Azul Claro,"Ceramica, 15oz, Blancos","2,160.00.","El precio original era: $2,682.00.",
213,Taza para sublimar blanca Matte 15 oz TLP Pack 36pz Interno Azul Claro,"Ceramica, 15oz, Blancos","1,080.00.","El precio original era: $1,278.00.",
214,Taza para sublimacion 11oz TLP [Interno Verde Limon ] 72pz,"Ceramica, 11oz, Blancos","1,548.00.","El precio original era: $1,600.00.",
215,Taza para sublimacion 11oz [Tipo Espejo Dorada] 72pz,"Ceramica, 11oz, Blancos","1,800.00.","El precio original era: $2,350.00.",
216,Taza para sublimar Diamante 11oz TLP [ color dorado ] Pack 72pz,"Ceramica, 11oz, Blancos","2,340.00.","El precio original era: $2,880.00.",
217,Taza para sublimar Diamante 11oz TLP [ color dorado ] Pack 24pz,"Ceramica, 11oz, Blancos",792.00.,El precio original era: $960.00.,
218,Taza para sublimar Diamante 11oz TLP [ color rosa ] Pack 36pz,"Ceramica, 11oz, Blancos","1,170.00.","El precio original era: $1,440.00.",
219,Taza para sublimar Diamante 11oz TLP [ color rosa ] Pack 24pz,"Ceramica, 11oz, Blancos",792.00.,El precio original era: $960.00.,
220,Taza para sublimar blanca TLP 11oz [ interno y asa de color verde claro ] Pack 72 pz,"Ceramica, 11oz, Blancos","1,689.12.","El precio original era: $1,836.00.",
221,Taza para sublimar TLP 11oz terminado [Matte color azul cobalto interno] Pack 72pz,"Ceramica, 11oz, Blancos","1,800.00.","El precio original era: $1,836.00.",
222,Taza para sublimar 11oz terminado [Matte color azul cobalto interno] Pack 36pz,"Ceramica, 11oz, Blancos",900.00.,El precio original era: $918.00.,
223,Taza para sublimar 11oz terminado [Matte color rosa interno] Pack 36pz,"Ceramica, 11oz, Blancos",900.00.,El precio original era: $918.00.,
224,Taza para sublimar 11oz terminado [Matte color rosa interno] Pack 24pz,"Ceramica, 11oz, Blancos",600.00.,El precio original era: $612.00.,
225,Taza para sublimar TLP 11oz terminado [Matte color amarillo interno] Pack 72pz,"Ceramica, 11oz, Blancos","1,800.00.","El precio original era: $1,836.00.",
226,Taza para sublimar 11oz terminado [Matte color amarillo interno] Pack 36pz,"Ceramica, 11oz, Blancos",900.00.,El precio original era: $918.00.,
227,Taza para sublimar 11oz terminado [Matte color Naranja interno] Pack 24pz,"Ceramica, 11oz, Blancos",600.00.,El precio original era: $612.00.,
228,Taza para sublimar 11oz terminado [Matte color verde claro interno] Pack 24pz,"Blancos, Ceramica",624.00.,El precio original era: $650.00.,
229,Taza Glitter Plata para sublimacion TLP 11oz – 72pz,"Blancos, Ceramica","2,340.00.","El precio original era: $2,400.00.",
