,nombre articulo,categoria,price,priceprevious,rating
0,Taza Cristal Satinado Exterior 11oz 6pz,"Blancos, Cristal, Tazas",125.46.,180.00.,Valorado con 5.00 de 5
1,Taza Cristal Transparente para sublimar 11oz con 12pz,"Blancos, Cristal, Tazas",208.00.,300.00.,
2,Taza Cristal Satinado Exterior para sublimar 11oz con 12pz,"Blancos, Cristal, Tazas",250.92.,440.00.,
3,Taza Cristal Transparente para sublimar 11oz con 24pz,"Blancos, Cristal, Tazas",416.00.,600.00.,Valorado con 5.00 de 5
4,Taza Cristal Transparente 11oz 6pz,"Blancos, Cristal, Tazas",104.00.,150.00.,
5,Taza Cristal Satinado Exterior para sublimar 11oz con 24pz,"Blancos, Cristal, Tazas",501.84.,880.00.,
6,Taza Cristal Satinado Exterior para sublimar 11oz con 48pz,"Blancos, Cristal, Tazas","1,003.68.","1,760.00.",
7,Taza Cristal Transparente para sublimar 11oz con 48pz,"Blancos, Cristal, Tazas",832.00.,"1,200.00.",
